id_product,nombre_prestashop,nombre_erp,referencia,ean13,codigo_match,unidad_erp,unidad_mariadb_inferida,factor_conversion_precio,inventario_erp_192_168_0_231,inventario_para_mariadb,inventario_mariadb,pendiente,final_sync,precio_mariadb,precio_erp,precio_para_mariadb,otras_listas_precios_erp,servidor_sync,accion
101,"Cebolla Larga Maya","","21158","000021158","21158","","",1.000000,SIN_MATCH,SIN_MATCH,138,0,SIN_MATCH,7300.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
102,"Mazorca Desgranada En Paquete X500 gr","","60","000060","60","","",1.000000,SIN_MATCH,SIN_MATCH,33,0,SIN_MATCH,4500.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
104,"Cubios En Paquete","","37","000037","37","","",1.000000,SIN_MATCH,SIN_MATCH,140,0,SIN_MATCH,1750.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
105,"Papa Criolla Mini En Paquete 300g","","125","0000125","125","","",1.000000,SIN_MATCH,SIN_MATCH,149,0,SIN_MATCH,3900.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
106,"Rábano Rojo Campo Fresh En Bandeja X300g","","19527","000019527","19527","","",1.000000,SIN_MATCH,SIN_MATCH,45,0,SIN_MATCH,4300.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
109,"Rúgula Campo Fresh Bandeja X160 gr","RUGULA CAMPFRES BANDEJA 150G","19524","701575344789","701575344789","BAN","BAN",1.000000,47,47,49,0,47,4900.00,4900.00,4900.00,"Lista 1: 4900.00000000",192.168.0.231,ACTUALIZAR_STOCK
112,"Espinaca Baby Campo Fresh Bandeja X200 gr","","19518","000019518","19518","","",1.000000,SIN_MATCH,SIN_MATCH,83,0,SIN_MATCH,4900.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
114,"Cogollos Campo Fresh x300 gr","","19520","701575344796","19520","","",1.000000,SIN_MATCH,SIN_MATCH,116,0,SIN_MATCH,5500.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
115,"Calabacín 500 gr","","14","000014","14","","",1.000000,SIN_MATCH,SIN_MATCH,645,0,SIN_MATCH,850.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
116,"Ahuyama Zapallo X500 gr","","139","000011653","139","","",1.000000,SIN_MATCH,SIN_MATCH,985,0,SIN_MATCH,1250.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
117,"Zucchini Amarillo X500 gr","","27755","000012600","27755","","",1.000000,SIN_MATCH,SIN_MATCH,610,0,SIN_MATCH,1150.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
118,"Zucchini Verde X500 gr","","12600","000012600","12600","","",1.000000,SIN_MATCH,SIN_MATCH,396,0,SIN_MATCH,1150.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
119,"Haba en Vaina X500 gr","","87","000087","87","","",1.000000,SIN_MATCH,SIN_MATCH,194,0,SIN_MATCH,1700.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
120,"Chuguas Paquete","","39","000039","39","","",1.000000,SIN_MATCH,SIN_MATCH,92,0,SIN_MATCH,1750.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
121,"Ají Unidad","","35","000035","35","","",1.000000,SIN_MATCH,SIN_MATCH,148,0,SIN_MATCH,400.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
122,"Calabaza x500 gr","","153","0000153","153","","",1.000000,SIN_MATCH,SIN_MATCH,109,0,SIN_MATCH,2400.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
123,"Tomate Cherry Bandeja","","11556","000011556","11556","","",1.000000,SIN_MATCH,SIN_MATCH,44,0,SIN_MATCH,5500.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
124,"Berenjena x500gr","","12","000012","12","","",1.000000,SIN_MATCH,SIN_MATCH,188,0,SIN_MATCH,2400.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
125,"Cebolla Larga Sin Rama X500 gr","","110","0000110","110","","",1.000000,SIN_MATCH,SIN_MATCH,12,0,SIN_MATCH,5450.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
126,"Remolacha X500 gr","","50","000050","50","","",1.000000,SIN_MATCH,SIN_MATCH,385,0,SIN_MATCH,1150.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
128,"Arracacha X500 gr","","9","00009","9","","",1.000000,SIN_MATCH,SIN_MATCH,530,0,SIN_MATCH,4750.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
129,"Coliflor X500 gr","","177","0000177","177","","",1.000000,SIN_MATCH,SIN_MATCH,211,0,SIN_MATCH,4950.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
130,"Papa Pastusa Paquete Sin Lavar","","160","0000160","160","","",1.000000,SIN_MATCH,SIN_MATCH,11,0,SIN_MATCH,2000.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
131,"Ajo Importado X3 Unidades","","159","7709990662986","159","","",1.000000,SIN_MATCH,SIN_MATCH,907,0,SIN_MATCH,1500.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
132,"Cebolla Cabezona en Malla","","151","0000151","151","","",1.000000,SIN_MATCH,SIN_MATCH,138,0,SIN_MATCH,3500.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
133,"Champiñón Tajado Bandeja X250gr","","145","7709990496741","145","","",1.000000,SIN_MATCH,SIN_MATCH,139,0,SIN_MATCH,3950.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
134,"Plátano Hartón Paquete","","143","0000143","143","","",1.000000,SIN_MATCH,SIN_MATCH,295,0,SIN_MATCH,4800.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
135,"Zanahoria  Malla","ZANAHORIA PAQ","131","0000131","131","PAQ","PAQ",1.000000,517,517,528,0,517,3500.00,3500.00,3500.00,"Lista 1: 3500.00000000",192.168.0.231,ACTUALIZAR_STOCK
137,"Cebolla Larga Con Rama X500 gr","","118","0000118","118","","",1.000000,SIN_MATCH,SIN_MATCH,1608,0,SIN_MATCH,3500.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
138,"Cebolla Cabezona Blanca 500gr","","116","0000116","116","","",1.000000,SIN_MATCH,SIN_MATCH,656,0,SIN_MATCH,2150.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
139,"Tomate Guiso Surtido X500gr","","115","0000115","115","","",1.000000,SIN_MATCH,SIN_MATCH,1462,0,SIN_MATCH,2650.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
140,"Lechuga Batavia Unidad","","113","0000113","113","","",1.000000,SIN_MATCH,SIN_MATCH,744,0,SIN_MATCH,2900.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
141,"Arveja En Vaina x500 gr","","104","0000104","104","","",1.000000,SIN_MATCH,SIN_MATCH,412,0,SIN_MATCH,5900.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
143,"Papa Pastusa Delgada Lavada 5 Libras","","96","000096","96","","",1.000000,SIN_MATCH,SIN_MATCH,32,0,SIN_MATCH,6750.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
144,"Verdura Picada Paquete","","93","0000093","93","","",1.000000,SIN_MATCH,SIN_MATCH,281,0,SIN_MATCH,1150.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
145,"Arveja Desgranada x500 gr","","79","000079","79","","",1.000000,SIN_MATCH,SIN_MATCH,33,0,SIN_MATCH,9500.00,SIN_PRECIO,SIN_PRECIO,"",192.168.0.231,PRODUCTO PARA CREAR
